entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,133.82,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,28.09,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,154.77,long
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,94.63,long
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,-82.80,short
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,200.18,long
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,79.23,long
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,158.18,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,292.05,long
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,119.53,long
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,-28.19,short
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,15.09,long
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,201.85,long
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,-70.24,short
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+00:00,118.99,long
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+00:00,131.28,long
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+00:00,-36.53,short
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,108.62,long
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+00:00,151.18,long
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+00:00,4.99,long
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+00:00,37.15,long
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+00:00,149.82,long
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+00:00,-52.88,short
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+00:00,-6.82,short
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,194.93,long
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+00:00,99.42,long
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+00:00,-65.78,short
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,91.25,long
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,303.54,long
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,-76.45,short
2026-01-06T00:00:00+00:00,2026-01-06T03:00:00+00:00,179.75,long
2026-01-06T04:00:00+00:00,2026-01-06T07:00:00+00:00,173.46,long
2026-01-06T08:00:00+00:00,2026-01-06T11:00:00+00:00,70.55,long
2026-01-06T12:00:00+00:00,2026-01-06T15:00:00+00:00,156.58,long
2026-01-06T16:00:00+00:00,2026-01-06T19:00:00+00:00,15.85,long
2026-01-06T20:00:00+00:00,2026-01-06T23:00:00+00:00,259.92,long
2026-01-07T00:00:00+00:00,2026-01-07T03:00:00+00:00,279.22,long
2026-01-07T04:00:00+00:00,2026-01-07T07:00:00+00:00,-6.80,short
2026-01-07T08:00:00+00:00,2026-01-07T11:00:00+00:00,66.50,long
2026-01-07T12:00:00+00:00,2026-01-07T15:00:00+00:00,104.51,long
2026-01-07T16:00:00+00:00,2026-01-07T19:00:00+00:00,21.21,long
