entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,69.56,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,117.16,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,68.04,long
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,-95.32,short
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,125.54,long
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,79.64,long
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,-18.70,short
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,93.11,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,71.46,long
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,64.41,long
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,37.84,long
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,89.67,long
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,-38.65,short
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,18.71,long
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+00:00,-13.21,short
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+00:00,94.88,long
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+00:00,38.97,long
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,5.75,long
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+00:00,-43.19,short
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+00:00,9.28,long
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+00:00,35.81,long
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+00:00,7.44,long
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+00:00,164.41,long
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+00:00,135.67,long
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,-236.12,short
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+00:00,-153.90,short
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+00:00,17.52,long
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,-7.22,short
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,56.36,long
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,56.73,long
2026-01-06T00:00:00+00:00,2026-01-06T03:00:00+00:00,246.78,long
2026-01-06T04:00:00+00:00,2026-01-06T07:00:00+00:00,-76.20,short
2026-01-06T08:00:00+00:00,2026-01-06T11:00:00+00:00,-2.76,short
2026-01-06T12:00:00+00:00,2026-01-06T15:00:00+00:00,239.28,long
2026-01-06T16:00:00+00:00,2026-01-06T19:00:00+00:00,99.67,long
2026-01-06T20:00:00+00:00,2026-01-06T23:00:00+00:00,101.31,long
2026-01-07T00:00:00+00:00,2026-01-07T03:00:00+00:00,-16.40,short
2026-01-07T04:00:00+00:00,2026-01-07T07:00:00+00:00,-129.81,short
2026-01-07T08:00:00+00:00,2026-01-07T11:00:00+00:00,51.75,long
2026-01-07T12:00:00+00:00,2026-01-07T15:00:00+00:00,45.90,long
2026-01-07T16:00:00+00:00,2026-01-07T19:00:00+00:00,-87.74,short
2026-01-07T20:00:00+00:00,2026-01-07T23:00:00+00:00,-33.32,short
2026-01-08T00:00:00+00:00,2026-01-08T03:00:00+00:00,27.80,long
2026-01-08T04:00:00+00:00,2026-01-08T07:00:00+00:00,-59.48,short
2026-01-08T08:00:00+00:00,2026-01-08T11:00:00+00:00,25.17,long
2026-01-08T12:00:00+00:00,2026-01-08T15:00:00+00:00,44.55,long
2026-01-08T16:00:00+00:00,2026-01-08T19:00:00+00:00,38.56,long
2026-01-08T20:00:00+00:00,2026-01-08T23:00:00+00:00,-15.63,short
2026-01-09T00:00:00+00:00,2026-01-09T03:00:00+00:00,94.37,long
2026-01-09T04:00:00+00:00,2026-01-09T07:00:00+00:00,124.12,long
