entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,50.00,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,50.00,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,50.00,long
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,50.00,long
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,50.00,long
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,50.00,long
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,50.00,long
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,50.00,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,50.00,long
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,50.00,long
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,50.00,long
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,50.00,long
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,50.00,long
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,50.00,long
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+00:00,50.00,long
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+00:00,50.00,long
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+00:00,50.00,long
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,50.00,long
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+00:00,50.00,long
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+00:00,50.00,long
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+00:00,50.00,long
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+00:00,50.00,long
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+00:00,50.00,long
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+00:00,50.00,long
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,50.00,long
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+00:00,50.00,long
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+00:00,50.00,long
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,50.00,long
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,50.00,long
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,50.00,long
2026-01-06T00:00:00+00:00,2026-01-06T03:00:00+00:00,50.00,long
2026-01-06T04:00:00+00:00,2026-01-06T07:00:00+00:00,50.00,long
2026-01-06T08:00:00+00:00,2026-01-06T11:00:00+00:00,50.00,long
2026-01-06T12:00:00+00:00,2026-01-06T15:00:00+00:00,50.00,long
2026-01-06T16:00:00+00:00,2026-01-06T19:00:00+00:00,50.00,long
2026-01-06T20:00:00+00:00,2026-01-06T23:00:00+00:00,50.00,long
2026-01-07T00:00:00+00:00,2026-01-07T03:00:00+00:00,50.00,long
2026-01-07T04:00:00+00:00,2026-01-07T07:00:00+00:00,50.00,long
2026-01-07T08:00:00+00:00,2026-01-07T11:00:00+00:00,50.00,long
2026-01-07T12:00:00+00:00,2026-01-07T15:00:00+00:00,50.00,long
2026-01-07T16:00:00+00:00,2026-01-07T19:00:00+00:00,50.00,long
2026-01-07T20:00:00+00:00,2026-01-07T23:00:00+00:00,50.00,long
2026-01-08T00:00:00+00:00,2026-01-08T03:00:00+00:00,50.00,long
2026-01-08T04:00:00+00:00,2026-01-08T07:00:00+00:00,50.00,long
2026-01-08T08:00:00+00:00,2026-01-08T11:00:00+00:00,50.00,long
2026-01-08T12:00:00+00:00,2026-01-08T15:00:00+00:00,50.00,long
2026-01-08T16:00:00+00:00,2026-01-08T19:00:00+00:00,50.00,long
2026-01-08T20:00:00+00:00,2026-01-08T23:00:00+00:00,50.00,long
2026-01-09T00:00:00+00:00,2026-01-09T03:00:00+00:00,50.00,long
2026-01-09T04:00:00+00:00,2026-01-09T07:00:00+00:00,50.00,long
2026-01-09T08:00:00+00:00,2026-01-09T11:00:00+00:00,50.00,long
2026-01-09T12:00:00+00:00,2026-01-09T15:00:00+00:00,50.00,long
2026-01-09T16:00:00+00:00,2026-01-09T19:00:00+00:00,50.00,long
2026-01-09T20:00:00+00:00,2026-01-09T23:00:00+00:00,50.00,long
2026-01-10T00:00:00+00:00,2026-01-10T03:00:00+00:00,50.00,long
2026-01-10T04:00:00+00:00,2026-01-10T07:00:00+00:00,50.00,long
2026-01-10T08:00:00+00:00,2026-01-10T11:00:00+00:00,50.00,long
2026-01-10T12:00:00+00:00,2026-01-10T15:00:00+00:00,50.00,long
2026-01-10T16:00:00+00:00,2026-01-10T19:00:00+00:00,50.00,long
2026-01-10T20:00:00+00:00,2026-01-10T23:00:00+00:00,50.00,long
2026-01-11T00:00:00+00:00,2026-01-11T03:00:00+00:00,50.00,long
2026-01-11T04:00:00+00:00,2026-01-11T07:00:00+00:00,50.00,long
2026-01-11T08:00:00+00:00,2026-01-11T11:00:00+00:00,50.00,long
2026-01-11T12:00:00+00:00,2026-01-11T15:00:00+00:00,50.00,long
2026-01-11T16:00:00+00:00,2026-01-11T19:00:00+00:00,50.00,long
2026-01-11T20:00:00+00:00,2026-01-11T23:00:00+00:00,50.00,long
2026-01-12T00:00:00+00:00,2026-01-12T03:00:00+00:00,50.00,long
2026-01-12T04:00:00+00:00,2026-01-12T07:00:00+00:00,50.00,long
2026-01-12T08:00:00+00:00,2026-01-12T11:00:00+00:00,50.00,long
2026-01-12T12:00:00+00:00,2026-01-12T15:00:00+00:00,50.00,long
2026-01-12T16:00:00+00:00,2026-01-12T19:00:00+00:00,50.00,long
2026-01-12T20:00:00+00:00,2026-01-12T23:00:00+00:00,50.00,long
2026-01-13T00:00:00+00:00,2026-01-13T03:00:00+00:00,50.00,long
2026-01-13T04:00:00+00:00,2026-01-13T07:00:00+00:00,50.00,long
2026-01-13T08:00:00+00:00,2026-01-13T11:00:00+00:00,50.00,long
2026-01-13T12:00:00+00:00,2026-01-13T15:00:00+00:00,50.00,long
2026-01-13T16:00:00+00:00,2026-01-13T19:00:00+00:00,50.00,long
2026-01-13T20:00:00+00:00,2026-01-13T23:00:00+00:00,50.00,long
2026-01-14T00:00:00+00:00,2026-01-14T03:00:00+00:00,50.00,long
2026-01-14T04:00:00+00:00,2026-01-14T07:00:00+00:00,50.00,long
2026-01-14T08:00:00+00:00,2026-01-14T11:00:00+00:00,50.00,long
2026-01-14T12:00:00+00:00,2026-01-14T15:00:00+00:00,50.00,long
