entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,0.12,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,29.87,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,-27.41,short
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,-89.06,short
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,-45.47,short
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,-99.16,short
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,6.01,long
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,134.02,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,-49.22,short
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,-62.05,short
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,48.98,long
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,35.69,long
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,10.54,long
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,-93.05,short
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+00:00,-2.93,short
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+00:00,69.53,long
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+00:00,-134.42,short
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,-45.76,short
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+00:00,-190.12,short
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+00:00,-128.95,short
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+00:00,-184.17,short
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+00:00,-23.51,short
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+00:00,-126.74,short
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+00:00,27.13,long
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,15.68,long
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+00:00,-18.69,short
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+00:00,-251.68,short
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,-53.87,short
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,-4.85,short
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,11.33,long
2026-01-06T00:00:00+00:00,2026-01-06T03:00:00+00:00,-153.01,short
2026-01-06T04:00:00+00:00,2026-01-06T07:00:00+00:00,-47.78,short
2026-01-06T08:00:00+00:00,2026-01-06T11:00:00+00:00,-97.85,short
2026-01-06T12:00:00+00:00,2026-01-06T15:00:00+00:00,-80.88,short
2026-01-06T16:00:00+00:00,2026-01-06T19:00:00+00:00,106.09,long
2026-01-06T20:00:00+00:00,2026-01-06T23:00:00+00:00,-80.75,short
2026-01-07T00:00:00+00:00,2026-01-07T03:00:00+00:00,-3.25,short
2026-01-07T04:00:00+00:00,2026-01-07T07:00:00+00:00,88.44,long
2026-01-07T08:00:00+00:00,2026-01-07T11:00:00+00:00,-58.36,short
2026-01-07T12:00:00+00:00,2026-01-07T15:00:00+00:00,-11.17,short
2026-01-07T16:00:00+00:00,2026-01-07T19:00:00+00:00,11.05,long
2026-01-07T20:00:00+00:00,2026-01-07T23:00:00+00:00,6.38,long
2026-01-08T00:00:00+00:00,2026-01-08T03:00:00+00:00,-122.51,short
2026-01-08T04:00:00+00:00,2026-01-08T07:00:00+00:00,7.61,long
2026-01-08T08:00:00+00:00,2026-01-08T11:00:00+00:00,135.88,long
2026-01-08T12:00:00+00:00,2026-01-08T15:00:00+00:00,-154.71,short
2026-01-08T16:00:00+00:00,2026-01-08T19:00:00+00:00,85.94,long
2026-01-08T20:00:00+00:00,2026-01-08T23:00:00+00:00,11.94,long
2026-01-09T00:00:00+00:00,2026-01-09T03:00:00+00:00,-64.15,short
2026-01-09T04:00:00+00:00,2026-01-09T07:00:00+00:00,200.04,long
2026-01-09T08:00:00+00:00,2026-01-09T11:00:00+00:00,76.23,long
2026-01-09T12:00:00+00:00,2026-01-09T15:00:00+00:00,-119.93,short
2026-01-09T16:00:00+00:00,2026-01-09T19:00:00+00:00,7.45,long
2026-01-09T20:00:00+00:00,2026-01-09T23:00:00+00:00,57.67,long
2026-01-10T00:00:00+00:00,2026-01-10T03:00:00+00:00,-18.88,short
2026-01-10T04:00:00+00:00,2026-01-10T07:00:00+00:00,68.29,long
2026-01-10T08:00:00+00:00,2026-01-10T11:00:00+00:00,-6.65,short
2026-01-10T12:00:00+00:00,2026-01-10T15:00:00+00:00,66.72,long
2026-01-10T16:00:00+00:00,2026-01-10T19:00:00+00:00,143.85,long
2026-01-10T20:00:00+00:00,2026-01-10T23:00:00+00:00,-67.57,short
2026-01-11T00:00:00+00:00,2026-01-11T03:00:00+00:00,20.31,long
2026-01-11T04:00:00+00:00,2026-01-11T07:00:00+00:00,-46.33,short
2026-01-11T08:00:00+00:00,2026-01-11T11:00:00+00:00,12.73,long
2026-01-11T12:00:00+00:00,2026-01-11T15:00:00+00:00,-118.72,short
2026-01-11T16:00:00+00:00,2026-01-11T19:00:00+00:00,-57.93,short
2026-01-11T20:00:00+00:00,2026-01-11T23:00:00+00:00,-19.62,short
2026-01-12T00:00:00+00:00,2026-01-12T03:00:00+00:00,89.88,long
2026-01-12T04:00:00+00:00,2026-01-12T07:00:00+00:00,114.52,long
2026-01-12T08:00:00+00:00,2026-01-12T11:00:00+00:00,-132.35,short
2026-01-12T12:00:00+00:00,2026-01-12T15:00:00+00:00,-79.46,short
2026-01-12T16:00:00+00:00,2026-01-12T19:00:00+00:00,64.69,long
2026-01-12T20:00:00+00:00,2026-01-12T23:00:00+00:00,-199.24,short
2026-01-13T00:00:00+00:00,2026-01-13T03:00:00+00:00,-46.32,short
2026-01-13T04:00:00+00:00,2026-01-13T07:00:00+00:00,-9.73,short
2026-01-13T08:00:00+00:00,2026-01-13T11:00:00+00:00,125.70,long
2026-01-13T12:00:00+00:00,2026-01-13T15:00:00+00:00,68.94,long
2026-01-13T16:00:00+00:00,2026-01-13T19:00:00+00:00,-32.72,short
2026-01-13T20:00:00+00:00,2026-01-13T23:00:00+00:00,-36.86,short
2026-01-14T00:00:00+00:00,2026-01-14T03:00:00+00:00,-25.02,short
2026-01-14T04:00:00+00:00,2026-01-14T07:00:00+00:00,152.35,long
2026-01-14T08:00:00+00:00,2026-01-14T11:00:00+00:00,-42.80,short
2026-01-14T12:00:00+00:00,2026-01-14T15:00:00+00:00,-30.37,short
2026-01-14T16:00:00+00:00,2026-01-14T19:00:00+00:00,35.26,long
2026-01-14T20:00:00+00:00,2026-01-14T23:00:00+00:00,-12.08,short
2026-01-15T00:00:00+00:00,2026-01-15T03:00:00+00:00,-19.73,short
2026-01-15T04:00:00+00:00,2026-01-15T07:00:00+00:00,-111.41,short
2026-01-15T08:00:00+00:00,2026-01-15T11:00:00+00:00,-1.15,short
2026-01-15T12:00:00+00:00,2026-01-15T15:00:00+00:00,-44.36,short
2026-01-15T16:00:00+00:00,2026-01-15T19:00:00+00:00,116.61,long
2026-01-15T20:00:00+00:00,2026-01-15T23:00:00+00:00,65.31,long
2026-01-16T00:00:00+00:00,2026-01-16T03:00:00+00:00,-2.41,short
2026-01-16T04:00:00+00:00,2026-01-16T07:00:00+00:00,66.84,long
2026-01-16T08:00:00+00:00,2026-01-16T11:00:00+00:00,-33.99,short
2026-01-16T12:00:00+00:00,2026-01-16T15:00:00+00:00,105.21,long
2026-01-16T16:00:00+00:00,2026-01-16T19:00:00+00:00,-0.54,short
2026-01-16T20:00:00+00:00,2026-01-16T23:00:00+00:00,58.34,long
2026-01-17T00:00:00+00:00,2026-01-17T03:00:00+00:00,-129.09,short
