entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,120.00,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,120.00,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,120.00,long
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,120.00,long
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,120.00,long
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,120.00,long
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,120.00,long
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,120.00,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,120.00,long
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,120.00,long
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,120.00,long
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,-80.00,short
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,-80.00,short
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,-80.00,short
