entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,85.85,long
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+00:00,44.05,long
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+00:00,130.13,long
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+00:00,183.64,long
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,240.88,long
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+00:00,158.78,long
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+00:00,105.79,long
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+00:00,87.22,long
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+00:00,209.90,long
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+00:00,280.78,long
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+00:00,171.82,long
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+00:00,51.33,long
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+00:00,73.34,long
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+00:00,278.00,long
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+00:00,166.23,long
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+00:00,11.43,long
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+00:00,143.30,long
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,56.94,long
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+00:00,99.66,long
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+00:00,110.96,long
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+00:00,92.93,long
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+00:00,194.27,long
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+00:00,144.95,long
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+00:00,102.85,long
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,182.77,long
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+00:00,216.39,long
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+00:00,18.56,long
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,129.46,long
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,71.54,long
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,136.15,long
2026-01-06T00:00:00+00:00,2026-01-06T03:00:00+00:00,46.85,long
2026-01-06T04:00:00+00:00,2026-01-06T07:00:00+00:00,151.66,long
2026-01-06T08:00:00+00:00,2026-01-06T11:00:00+00:00,146.97,long
2026-01-06T12:00:00+00:00,2026-01-06T15:00:00+00:00,125.65,long
2026-01-06T16:00:00+00:00,2026-01-06T19:00:00+00:00,66.17,long
2026-01-06T20:00:00+00:00,2026-01-06T23:00:00+00:00,118.30,long
2026-01-07T00:00:00+00:00,2026-01-07T03:00:00+00:00,62.69,long
2026-01-07T04:00:00+00:00,2026-01-07T07:00:00+00:00,41.58,long
2026-01-07T08:00:00+00:00,2026-01-07T11:00:00+00:00,167.98,long
2026-01-07T12:00:00+00:00,2026-01-07T15:00:00+00:00,61.25,long
2026-01-07T16:00:00+00:00,2026-01-07T19:00:00+00:00,243.62,long
2026-01-07T20:00:00+00:00,2026-01-07T23:00:00+00:00,207.33,long
2026-01-08T00:00:00+00:00,2026-01-08T03:00:00+00:00,-9.83,short
2026-01-08T04:00:00+00:00,2026-01-08T07:00:00+00:00,171.77,long
2026-01-08T08:00:00+00:00,2026-01-08T11:00:00+00:00,61.86,long
2026-01-08T12:00:00+00:00,2026-01-08T15:00:00+00:00,152.64,long
2026-01-08T16:00:00+00:00,2026-01-08T19:00:00+00:00,153.49,long
2026-01-08T20:00:00+00:00,2026-01-08T23:00:00+00:00,-9.07,short
2026-01-09T00:00:00+00:00,2026-01-09T03:00:00+00:00,131.33,long
2026-01-09T04:00:00+00:00,2026-01-09T07:00:00+00:00,129.54,long
2026-01-09T08:00:00+00:00,2026-01-09T11:00:00+00:00,226.96,long
2026-01-09T12:00:00+00:00,2026-01-09T15:00:00+00:00,55.48,long
2026-01-09T16:00:00+00:00,2026-01-09T19:00:00+00:00,209.04,long
2026-01-09T20:00:00+00:00,2026-01-09T23:00:00+00:00,62.08,long
2026-01-10T00:00:00+00:00,2026-01-10T03:00:00+00:00,123.50,long
2026-01-10T04:00:00+00:00,2026-01-10T07:00:00+00:00,82.76,long
2026-01-10T08:00:00+00:00,2026-01-10T11:00:00+00:00,265.90,long
2026-01-10T12:00:00+00:00,2026-01-10T15:00:00+00:00,195.46,long
2026-01-10T16:00:00+00:00,2026-01-10T19:00:00+00:00,344.54,long
2026-01-10T20:00:00+00:00,2026-01-10T23:00:00+00:00,201.35,long
2026-01-11T00:00:00+00:00,2026-01-11T03:00:00+00:00,217.60,long
2026-01-11T04:00:00+00:00,2026-01-11T07:00:00+00:00,217.25,long
2026-01-11T08:00:00+00:00,2026-01-11T11:00:00+00:00,101.47,long
2026-01-11T12:00:00+00:00,2026-01-11T15:00:00+00:00,144.40,long
2026-01-11T16:00:00+00:00,2026-01-11T19:00:00+00:00,258.03,long
2026-01-11T20:00:00+00:00,2026-01-11T23:00:00+00:00,118.28,long
2026-01-12T00:00:00+00:00,2026-01-12T03:00:00+00:00,165.10,long
2026-01-12T04:00:00+00:00,2026-01-12T07:00:00+00:00,148.30,long
2026-01-12T08:00:00+00:00,2026-01-12T11:00:00+00:00,198.74,long
2026-01-12T12:00:00+00:00,2026-01-12T15:00:00+00:00,120.81,long
2026-01-12T16:00:00+00:00,2026-01-12T19:00:00+00:00,137.81,long
2026-01-12T20:00:00+00:00,2026-01-12T23:00:00+00:00,169.39,long
2026-01-13T00:00:00+00:00,2026-01-13T03:00:00+00:00,-93.82,short
2026-01-13T04:00:00+00:00,2026-01-13T07:00:00+00:00,-151.90,short
2026-01-13T08:00:00+00:00,2026-01-13T11:00:00+00:00,-46.25,short
2026-01-13T12:00:00+00:00,2026-01-13T15:00:00+00:00,-177.91,short
2026-01-13T16:00:00+00:00,2026-01-13T19:00:00+00:00,-172.07,short
2026-01-13T20:00:00+00:00,2026-01-13T23:00:00+00:00,-176.95,short
2026-01-14T00:00:00+00:00,2026-01-14T03:00:00+00:00,-41.98,short
2026-01-14T04:00:00+00:00,2026-01-14T07:00:00+00:00,-121.64,short
2026-01-14T08:00:00+00:00,2026-01-14T11:00:00+00:00,-158.26,short
2026-01-14T12:00:00+00:00,2026-01-14T15:00:00+00:00,-168.16,short
2026-01-14T16:00:00+00:00,2026-01-14T19:00:00+00:00,-74.73,short
2026-01-14T20:00:00+00:00,2026-01-14T23:00:00+00:00,-163.29,short
2026-01-15T00:00:00+00:00,2026-01-15T03:00:00+00:00,-176.32,short
2026-01-15T04:00:00+00:00,2026-01-15T07:00:00+00:00,-63.16,short
2026-01-15T08:00:00+00:00,2026-01-15T11:00:00+00:00,-171.80,short
2026-01-15T12:00:00+00:00,2026-01-15T15:00:00+00:00,-119.35,short
2026-01-15T16:00:00+00:00,2026-01-15T19:00:00+00:00,-100.41,short
2026-01-15T20:00:00+00:00,2026-01-15T23:00:00+00:00,-126.72,short
2026-01-16T00:00:00+00:00,2026-01-16T03:00:00+00:00,-103.25,short
2026-01-16T04:00:00+00:00,2026-01-16T07:00:00+00:00,-19.67,short
2026-01-16T08:00:00+00:00,2026-01-16T11:00:00+00:00,-131.01,short
2026-01-16T12:00:00+00:00,2026-01-16T15:00:00+00:00,-175.56,short
2026-01-16T16:00:00+00:00,2026-01-16T19:00:00+00:00,-210.20,short
2026-01-16T20:00:00+00:00,2026-01-16T23:00:00+00:00,-112.29,short
2026-01-17T00:00:00+00:00,2026-01-17T03:00:00+00:00,-121.14,short
2026-01-17T04:00:00+00:00,2026-01-17T07:00:00+00:00,-84.09,short
2026-01-17T08:00:00+00:00,2026-01-17T11:00:00+00:00,-127.85,short
2026-01-17T12:00:00+00:00,2026-01-17T15:00:00+00:00,-128.72,short
2026-01-17T16:00:00+00:00,2026-01-17T19:00:00+00:00,-143.28,short
2026-01-17T20:00:00+00:00,2026-01-17T23:00:00+00:00,-131.19,short
2026-01-18T00:00:00+00:00,2026-01-18T03:00:00+00:00,-90.39,short
2026-01-18T04:00:00+00:00,2026-01-18T07:00:00+00:00,-122.82,short
2026-01-18T08:00:00+00:00,2026-01-18T11:00:00+00:00,-93.97,short
2026-01-18T12:00:00+00:00,2026-01-18T15:00:00+00:00,14.07,long
2026-01-18T16:00:00+00:00,2026-01-18T19:00:00+00:00,-71.25,short
2026-01-18T20:00:00+00:00,2026-01-18T23:00:00+00:00,-194.57,short
2026-01-19T00:00:00+00:00,2026-01-19T03:00:00+00:00,4.01,long
2026-01-19T04:00:00+00:00,2026-01-19T07:00:00+00:00,-79.13,short
2026-01-19T08:00:00+00:00,2026-01-19T11:00:00+00:00,-156.48,short
2026-01-19T12:00:00+00:00,2026-01-19T15:00:00+00:00,-45.58,short
2026-01-19T16:00:00+00:00,2026-01-19T19:00:00+00:00,-98.94,short
2026-01-19T20:00:00+00:00,2026-01-19T23:00:00+00:00,-136.91,short
2026-01-20T00:00:00+00:00,2026-01-20T03:00:00+00:00,-138.01,short
2026-01-20T04:00:00+00:00,2026-01-20T07:00:00+00:00,-159.61,short
2026-01-20T08:00:00+00:00,2026-01-20T11:00:00+00:00,-97.11,short
2026-01-20T12:00:00+00:00,2026-01-20T15:00:00+00:00,-35.87,short
2026-01-20T16:00:00+00:00,2026-01-20T19:00:00+00:00,-119.50,short
2026-01-20T20:00:00+00:00,2026-01-20T23:00:00+00:00,-74.75,short
