entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T06:00:00+00:00,-53.74,short
2026-01-01T07:00:00+00:00,2026-01-01T11:00:00+00:00,275.16,long
2026-01-01T12:00:00+00:00,2026-01-01T13:00:00+00:00,-28.64,short
2026-01-01T14:00:00+00:00,2026-01-01T21:00:00+00:00,-22.16,short
2026-01-01T22:00:00+00:00,2026-01-02T05:00:00+00:00,277.68,long
2026-01-02T06:00:00+00:00,2026-01-02T07:00:00+00:00,-20.8,short
2026-01-02T08:00:00+00:00,2026-01-02T13:00:00+00:00,-48.36,short
2026-01-02T14:00:00+00:00,2026-01-02T18:00:00+00:00,-36.34,short
2026-01-02T19:00:00+00:00,2026-01-02T23:00:00+00:00,287.44,long
2026-01-03T00:00:00+00:00,2026-01-03T06:00:00+00:00,-28.8,short
2026-01-03T07:00:00+00:00,2026-01-03T11:00:00+00:00,104.21,long
2026-01-03T12:00:00+00:00,2026-01-03T19:00:00+00:00,-49.51,short
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+00:00,110.25,long
2026-01-04T00:00:00+00:00,2026-01-04T05:00:00+00:00,-85.83,short
2026-01-04T06:00:00+00:00,2026-01-04T10:00:00+00:00,244.23,long
2026-01-04T11:00:00+00:00,2026-01-04T17:00:00+00:00,187.68,long
2026-01-04T18:00:00+00:00,2026-01-05T01:00:00+00:00,136.75,long
2026-01-05T02:00:00+00:00,2026-01-05T05:00:00+00:00,227.87,long
2026-01-05T06:00:00+00:00,2026-01-05T08:00:00+00:00,-71.18,short
2026-01-05T09:00:00+00:00,2026-01-05T11:00:00+00:00,-22.67,short
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+00:00,221.94,long
2026-01-05T16:00:00+00:00,2026-01-05T23:00:00+00:00,118.36,long
2026-01-06T00:00:00+00:00,2026-01-06T06:00:00+00:00,-25.73,short
2026-01-06T07:00:00+00:00,2026-01-06T10:00:00+00:00,98.51,long
2026-01-06T11:00:00+00:00,2026-01-06T16:00:00+00:00,115.47,long
2026-01-06T17:00:00+00:00,2026-01-06T22:00:00+00:00,219.35,long
2026-01-06T23:00:00+00:00,2026-01-07T01:00:00+00:00,-26.81,short
2026-01-07T02:00:00+00:00,2026-01-07T06:00:00+00:00,246.22,long
2026-01-07T07:00:00+00:00,2026-01-07T13:00:00+00:00,150.57,long
2026-01-07T14:00:00+00:00,2026-01-07T16:00:00+00:00,103.74,long
2026-01-07T17:00:00+00:00,2026-01-07T21:00:00+00:00,160.0,long
2026-01-07T22:00:00+00:00,2026-01-08T02:00:00+00:00,266.83,long
2026-01-08T03:00:00+00:00,2026-01-08T08:00:00+00:00,135.39,long
2026-01-08T09:00:00+00:00,2026-01-08T16:00:00+00:00,219.28,long
2026-01-08T17:00:00+00:00,2026-01-08T18:00:00+00:00,-89.84,short
2026-01-08T19:00:00+00:00,2026-01-09T02:00:00+00:00,219.38,long
2026-01-09T03:00:00+00:00,2026-01-09T04:00:00+00:00,279.82,long
2026-01-09T05:00:00+00:00,2026-01-09T08:00:00+00:00,-22.91,short
2026-01-09T09:00:00+00:00,2026-01-09T14:00:00+00:00,133.25,long
2026-01-09T15:00:00+00:00,2026-01-09T19:00:00+00:00,-74.65,short
2026-01-09T20:00:00+00:00,2026-01-10T02:00:00+00:00,154.59,long
2026-01-10T03:00:00+00:00,2026-01-10T04:00:00+00:00,-58.22,short
2026-01-10T05:00:00+00:00,2026-01-10T12:00:00+00:00,-31.91,short
2026-01-10T13:00:00+00:00,2026-01-10T17:00:00+00:00,81.11,long
2026-01-10T18:00:00+00:00,2026-01-10T19:00:00+00:00,269.36,long
2026-01-10T20:00:00+00:00,2026-01-10T21:00:00+00:00,143.75,long
2026-01-10T22:00:00+00:00,2026-01-10T23:00:00+00:00,130.15,long
2026-01-11T00:00:00+00:00,2026-01-11T06:00:00+00:00,-36.14,short
2026-01-11T07:00:00+00:00,2026-01-11T12:00:00+00:00,134.84,long
2026-01-11T13:00:00+00:00,2026-01-11T19:00:00+00:00,141.3,long
2026-01-11T20:00:00+00:00,2026-01-11T22:00:00+00:00,111.88,long
2026-01-11T23:00:00+00:00,2026-01-12T03:00:00+00:00,234.66,long
2026-01-12T04:00:00+00:00,2026-01-12T09:00:00+00:00,-68.55,short
2026-01-12T10:00:00+00:00,2026-01-12T15:00:00+00:00,-43.84,short
2026-01-12T16:00:00+00:00,2026-01-12T21:00:00+00:00,-59.09,short
2026-01-12T22:00:00+00:00,2026-01-13T05:00:00+00:00,-26.94,short
2026-01-13T06:00:00+00:00,2026-01-13T11:00:00+00:00,-38.4,short
2026-01-13T12:00:00+00:00,2026-01-13T18:00:00+00:00,-31.76,short
2026-01-13T19:00:00+00:00,2026-01-14T00:00:00+00:00,277.14,long
2026-01-14T01:00:00+00:00,2026-01-14T04:00:00+00:00,-55.46,short
2026-01-14T05:00:00+00:00,2026-01-14T09:00:00+00:00,256.81,long
2026-01-14T10:00:00+00:00,2026-01-14T15:00:00+00:00,121.03,long
