entry_time,exit_time,pnl,side
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+00:00,-144.43,short
2026-01-01T04:00:00+00:00,2026-01-01T05:00:00+00:00,-67.89,short
2026-01-01T06:00:00+00:00,2026-01-01T09:00:00+00:00,159.8,long
2026-01-01T10:00:00+00:00,2026-01-01T13:00:00+00:00,93.68,long
2026-01-01T14:00:00+00:00,2026-01-01T15:00:00+00:00,-88.29,short
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+00:00,-97.18,short
2026-01-01T20:00:00+00:00,2026-01-02T01:00:00+00:00,93.82,long
2026-01-02T02:00:00+00:00,2026-01-02T04:00:00+00:00,58.71,long
2026-01-02T05:00:00+00:00,2026-01-02T12:00:00+00:00,53.09,long
2026-01-02T13:00:00+00:00,2026-01-02T15:00:00+00:00,106.18,long
2026-01-02T16:00:00+00:00,2026-01-02T17:00:00+00:00,114.79,long
2026-01-02T18:00:00+00:00,2026-01-02T22:00:00+00:00,-77.09,short
2026-01-02T23:00:00+00:00,2026-01-03T06:00:00+00:00,140.17,long
2026-01-03T07:00:00+00:00,2026-01-03T08:00:00+00:00,-36.13,short
2026-01-03T09:00:00+00:00,2026-01-03T13:00:00+00:00,70.92,long
2026-01-03T14:00:00+00:00,2026-01-03T16:00:00+00:00,73.4,long
2026-01-03T17:00:00+00:00,2026-01-03T18:00:00+00:00,-95.27,short
2026-01-03T19:00:00+00:00,2026-01-04T02:00:00+00:00,-142.19,short
2026-01-04T03:00:00+00:00,2026-01-04T10:00:00+00:00,174.87,long
2026-01-04T11:00:00+00:00,2026-01-04T17:00:00+00:00,-129.54,short
2026-01-04T18:00:00+00:00,2026-01-04T23:00:00+00:00,141.78,long
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+00:00,-106.04,short
2026-01-05T04:00:00+00:00,2026-01-05T08:00:00+00:00,-126.04,short
2026-01-05T09:00:00+00:00,2026-01-05T15:00:00+00:00,179.93,long
2026-01-05T16:00:00+00:00,2026-01-05T19:00:00+00:00,77.27,long
2026-01-05T20:00:00+00:00,2026-01-05T23:00:00+00:00,77.51,long
2026-01-06T00:00:00+00:00,2026-01-06T01:00:00+00:00,-135.36,short
2026-01-06T02:00:00+00:00,2026-01-06T05:00:00+00:00,-90.58,short
2026-01-06T06:00:00+00:00,2026-01-06T11:00:00+00:00,156.21,long
2026-01-06T12:00:00+00:00,2026-01-06T19:00:00+00:00,-113.45,short
2026-01-06T20:00:00+00:00,2026-01-07T02:00:00+00:00,195.49,long
2026-01-07T03:00:00+00:00,2026-01-07T06:00:00+00:00,-55.78,short
2026-01-07T07:00:00+00:00,2026-01-07T08:00:00+00:00,128.71,long
2026-01-07T09:00:00+00:00,2026-01-07T14:00:00+00:00,-78.91,short
2026-01-07T15:00:00+00:00,2026-01-07T17:00:00+00:00,-138.28,short
2026-01-07T18:00:00+00:00,2026-01-08T01:00:00+00:00,73.4,long
2026-01-08T02:00:00+00:00,2026-01-08T09:00:00+00:00,192.61,long
2026-01-08T10:00:00+00:00,2026-01-08T16:00:00+00:00,139.8,long
2026-01-08T17:00:00+00:00,2026-01-09T00:00:00+00:00,-52.99,short
2026-01-09T01:00:00+00:00,2026-01-09T04:00:00+00:00,95.64,long
2026-01-09T05:00:00+00:00,2026-01-09T06:00:00+00:00,81.85,long
2026-01-09T07:00:00+00:00,2026-01-09T14:00:00+00:00,-34.12,short
